comparison_family,case_id,left_tool,right_tool,shared_condition,left_metric,left_value,right_metric,right_value,unit,relation,evidence_level,claim_boundary,source_path,source_sha256,metric_definition
NoC independent oracle,noc_n02_single_256_vc1/r1,Independent oracle,STAGE,oracle_timeline_sha256=aa559a872cae7d6f7a513b86c42a3eb04e4b1c9d344f92cbc648f4e2aaa0142b,event timeline,aa559a872cae7d6f7a513b86c42a3eb04e4b1c9d344f92cbc648f4e2aaa0142b,canonical trace,775c258695f69a6bf801e0d5365ee21f77838a8c1e3a786127ae785e2505aeaf,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.
NoC independent oracle,noc_n03_single_512_vc3/r0,Independent oracle,STAGE,oracle_timeline_sha256=80667b8b8db1f0d84a2a784d9615d9841e18310e2a51d1f4a80eb3fd49065041,event timeline,80667b8b8db1f0d84a2a784d9615d9841e18310e2a51d1f4a80eb3fd49065041,canonical trace,b444ceb9860f3675c23347ba7c30c7542c6e9bbe5f367f320e1aac0cf0f3d6aa,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.
NoC independent oracle,noc_n03_single_512_vc3/r1,Independent oracle,STAGE,oracle_timeline_sha256=80667b8b8db1f0d84a2a784d9615d9841e18310e2a51d1f4a80eb3fd49065041,event timeline,80667b8b8db1f0d84a2a784d9615d9841e18310e2a51d1f4a80eb3fd49065041,canonical trace,b444ceb9860f3675c23347ba7c30c7542c6e9bbe5f367f320e1aac0cf0f3d6aa,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.
NoC independent oracle,noc_n04_single_1024/r0,Independent oracle,STAGE,oracle_timeline_sha256=cf97ce053ddc0539965cb41f764d848e44bf957773f033fc6566ff7ff277c1d8,event timeline,cf97ce053ddc0539965cb41f764d848e44bf957773f033fc6566ff7ff277c1d8,canonical trace,76745208393878939427057e208d749a3b04802a75e2ec44007b580d19a64b88,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.
NoC independent oracle,noc_n04_single_1024/r1,Independent oracle,STAGE,oracle_timeline_sha256=cf97ce053ddc0539965cb41f764d848e44bf957773f033fc6566ff7ff277c1d8,event timeline,cf97ce053ddc0539965cb41f764d848e44bf957773f033fc6566ff7ff277c1d8,canonical trace,76745208393878939427057e208d749a3b04802a75e2ec44007b580d19a64b88,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.
NoC independent oracle,noc_n05_contend_128/r0,Independent oracle,STAGE,oracle_timeline_sha256=fbbeb638ee913896a62eb40d75d09881ddb260c3f7c9dfffc231b72560860b21,event timeline,fbbeb638ee913896a62eb40d75d09881ddb260c3f7c9dfffc231b72560860b21,canonical trace,df0418aaf50ba81b05d8343818400f1ba33159a63016566aa84148eb8f6067ff,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.
NoC independent oracle,noc_n05_contend_128/r1,Independent oracle,STAGE,oracle_timeline_sha256=fbbeb638ee913896a62eb40d75d09881ddb260c3f7c9dfffc231b72560860b21,event timeline,fbbeb638ee913896a62eb40d75d09881ddb260c3f7c9dfffc231b72560860b21,canonical trace,df0418aaf50ba81b05d8343818400f1ba33159a63016566aa84148eb8f6067ff,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.
NoC independent oracle,noc_n06_contend_512/r0,Independent oracle,STAGE,oracle_timeline_sha256=823dd9817b95c9eda5c28c5ccb2a2b175db545ab12896e3ec4f313e8d38240a1,event timeline,823dd9817b95c9eda5c28c5ccb2a2b175db545ab12896e3ec4f313e8d38240a1,canonical trace,d031287b738b199add6a75685993b871ad028c8065c7d38df842a5862d66b2dc,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.
NoC independent oracle,noc_n06_contend_512/r1,Independent oracle,STAGE,oracle_timeline_sha256=823dd9817b95c9eda5c28c5ccb2a2b175db545ab12896e3ec4f313e8d38240a1,event timeline,823dd9817b95c9eda5c28c5ccb2a2b175db545ab12896e3ec4f313e8d38240a1,canonical trace,d031287b738b199add6a75685993b871ad028c8065c7d38df842a5862d66b2dc,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed an exact-operands HardwareGraph; this projection contains only real STAGE trace events.
NoC independent oracle,noc_n07_block_release_256/r0,Independent oracle,STAGE,oracle_timeline_sha256=3de45304ce2f4a65176b2c7fefcee0d5783008ebf2a91b421b9a2036c5ba5862,event timeline,3de45304ce2f4a65176b2c7fefcee0d5783008ebf2a91b421b9a2036c5ba5862,canonical trace,,canonical bytes/hash,unsupported contract,Not supported,The generic engine has no public deterministic capacity-release event input; the blocked/release cases remain oracle-only until that input exists.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic engine has no public deterministic capacity-release event input; the blocked/release cases remain oracle-only until that input exists.
NoC independent oracle,noc_n07_block_release_256/r1,Independent oracle,STAGE,oracle_timeline_sha256=3de45304ce2f4a65176b2c7fefcee0d5783008ebf2a91b421b9a2036c5ba5862,event timeline,3de45304ce2f4a65176b2c7fefcee0d5783008ebf2a91b421b9a2036c5ba5862,canonical trace,,canonical bytes/hash,unsupported contract,Not supported,The generic engine has no public deterministic capacity-release event input; the blocked/release cases remain oracle-only until that input exists.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic engine has no public deterministic capacity-release event input; the blocked/release cases remain oracle-only until that input exists.
NoC independent oracle,noc_n08_block_tail_1024/r0,Independent oracle,STAGE,oracle_timeline_sha256=3555a1a01444222e86b909cedd98e7c16b8d40fb17107b2d37e51835e2ad1ba5,event timeline,3555a1a01444222e86b909cedd98e7c16b8d40fb17107b2d37e51835e2ad1ba5,canonical trace,,canonical bytes/hash,unsupported contract,Not supported,The generic engine has no public deterministic capacity-release event input; the blocked/release cases remain oracle-only until that input exists.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic engine has no public deterministic capacity-release event input; the blocked/release cases remain oracle-only until that input exists.
NoC independent oracle,noc_n08_block_tail_1024/r1,Independent oracle,STAGE,oracle_timeline_sha256=3555a1a01444222e86b909cedd98e7c16b8d40fb17107b2d37e51835e2ad1ba5,event timeline,3555a1a01444222e86b909cedd98e7c16b8d40fb17107b2d37e51835e2ad1ba5,canonical trace,,canonical bytes/hash,unsupported contract,Not supported,The generic engine has no public deterministic capacity-release event input; the blocked/release cases remain oracle-only until that input exists.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic engine has no public deterministic capacity-release event input; the blocked/release cases remain oracle-only until that input exists.
NoC independent oracle,noc_n09_atomic_depth_boundary/r0,Independent oracle,STAGE,oracle_timeline_sha256=19151ad92ba991bc2ac4721f26211f93e6ecc637e0503d29599c20107d0dcb74,event timeline,19151ad92ba991bc2ac4721f26211f93e6ecc637e0503d29599c20107d0dcb74,canonical trace,ef32c764fe3dc95b2332b9cbd16b3a890ec6df02f1132c333d0a8144d652b8e3,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed the exact-operands HardwareGraph and exposed the expected atomic VC-depth boundary.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed the exact-operands HardwareGraph and exposed the expected atomic VC-depth boundary.
NoC independent oracle,noc_n09_atomic_depth_boundary/r1,Independent oracle,STAGE,oracle_timeline_sha256=19151ad92ba991bc2ac4721f26211f93e6ecc637e0503d29599c20107d0dcb74,event timeline,19151ad92ba991bc2ac4721f26211f93e6ecc637e0503d29599c20107d0dcb74,canonical trace,ef32c764fe3dc95b2332b9cbd16b3a890ec6df02f1132c333d0a8144d652b8e3,canonical bytes/hash,exact supported contract,Exact,The generic CycleSimulationEngine executed the exact-operands HardwareGraph and exposed the expected atomic VC-depth boundary.,experiments/aspdac/results/reviewer_extension_20260717/summary/noc_contract_microbench.csv,4e624e1b9c4014b6df8aaed783e7f0ad9696f8fcdd67d7876a957535851d8cbe,The generic CycleSimulationEngine executed the exact-operands HardwareGraph and exposed the expected atomic VC-depth boundary.
Trace-guided intervention,p2_mem_ports_1_to_2,STAGE baseline,STAGE intervention,invariant_pair_hash=ecc304ac6307d08f27eff6c9f3c3d84e2772eda50b1028472d743a380612eccb,total_cycles,2560,total_cycles,2304,STAGE cycles,one-axis memory_ports intervention,Deterministic within-model,"Deterministic within-model counterfactual evidence only. It is not general causal identification, hardware accuracy, or a cross-tool timing claim.",experiments/aspdac/results/reviewer_extension_20260717/summary/trace_guided_interventions.csv,0c364c2faa86552efaae823cbf7e5f46d8ac1728dbb76eff7e85203b5b214607,"Deterministic within-model counterfactual evidence only. It is not general causal identification, hardware accuracy, or a cross-tool timing claim."
Trace-guided intervention,p2_link_bits_64_to_128,STAGE baseline,STAGE intervention,invariant_pair_hash=9bf2441191d9cde8ba6ab1e8ec69976aa044e15457b7c848bb1a0ab8b9adc259,total_cycles,3328,total_cycles,2560,STAGE cycles,one-axis link_bits_per_cycle intervention,Deterministic within-model,"Deterministic within-model counterfactual evidence only. It is not general causal identification, hardware accuracy, or a cross-tool timing claim.",experiments/aspdac/results/reviewer_extension_20260717/summary/trace_guided_interventions.csv,0c364c2faa86552efaae823cbf7e5f46d8ac1728dbb76eff7e85203b5b214607,"Deterministic within-model counterfactual evidence only. It is not general causal identification, hardware accuracy, or a cross-tool timing claim."
