evidence_kind,identity,repeat_0_candidate_id,repeat_1_candidate_id,repeat_0_hash,repeat_1_hash,exact
kernel,accumulation_15x10/fp8_a16,c-3492958e47df25ae,c-eb5872c6d12c6e4a,9f37252e07ec65ecd0aa4d8b7ae794870a7bb72d830309d158a8df473fb7d9c7,9f37252e07ec65ecd0aa4d8b7ae794870a7bb72d830309d158a8df473fb7d9c7,True
kernel,accumulation_15x10/fp8_a8,c-b726bf26905c8b1b,c-b7d5ee838f3429ff,719a4fea2891e2899edf43035e2b01bdc82a713cf47863887c07c7e7f817e867,719a4fea2891e2899edf43035e2b01bdc82a713cf47863887c07c7e7f817e867,True
kernel,finite_saturation_12x9/fp16_a16,c-90465793c9b74c57,c-7c28951b457bd953,9265926702ef6d9e4ea7a8131207784ed0f6baa972298744763c75f7f6aa4494,9265926702ef6d9e4ea7a8131207784ed0f6baa972298744763c75f7f6aa4494,True
kernel,finite_saturation_12x9/fp32_a32,c-78119afa4b717f71,c-2cfb7c04a755b9b1,ee2767f0c3757fd7bd293d7306323ca36693137534fe00632d9be06683c23aa7,ee2767f0c3757fd7bd293d7306323ca36693137534fe00632d9be06683c23aa7,True
kernel,finite_saturation_12x9/fp8_a16,c-55518b032c105529,c-4a161b29bb7be92a,7254796f6cd0749a7fa8d1532a84200d4cc9480206526f9d2812badd5eab736a,7254796f6cd0749a7fa8d1532a84200d4cc9480206526f9d2812badd5eab736a,True
kernel,finite_saturation_12x9/fp8_a8,c-dc3167f9dfc3902c,c-ee84deafea453934,7254796f6cd0749a7fa8d1532a84200d4cc9480206526f9d2812badd5eab736a,7254796f6cd0749a7fa8d1532a84200d4cc9480206526f9d2812badd5eab736a,True
kernel,fp8_finite_range_11x8/fp16_a16,c-2286b75dce061892,c-461457ef9b424f93,c3243fd8c17eafcdb0ad195d54567229b89a62caa889cc475575d9929773f909,c3243fd8c17eafcdb0ad195d54567229b89a62caa889cc475575d9929773f909,True
kernel,fp8_finite_range_11x8/fp32_a32,c-db50813179ff8292,c-02695281191bd4c5,0d366a97dbab30e468497e7648c99171345703bd8d7e1fada169ed64816915e1,0d366a97dbab30e468497e7648c99171345703bd8d7e1fada169ed64816915e1,True
kernel,fp8_finite_range_11x8/fp8_a16,c-aea5d97aa65829a6,c-923d534a470b6894,7991d4aa6f148916e32bc15700d7e2e2ef19ef5db393578eaeaf8a9556d07cac,7991d4aa6f148916e32bc15700d7e2e2ef19ef5db393578eaeaf8a9556d07cac,True
kernel,fp8_finite_range_11x8/fp8_a8,c-c8d579d64307820a,c-ac666813e14ceb83,7991d4aa6f148916e32bc15700d7e2e2ef19ef5db393578eaeaf8a9556d07cac,7991d4aa6f148916e32bc15700d7e2e2ef19ef5db393578eaeaf8a9556d07cac,True
kernel,fp8_subnormal_8x5/fp16_a16,c-40751dc6b79184d1,c-ad4a9255e1afb010,e94a2a25a9ef0cb74e22f5547169647b85d6a0d5a629c15a06fe2987ae58f770,e94a2a25a9ef0cb74e22f5547169647b85d6a0d5a629c15a06fe2987ae58f770,True
kernel,fp8_subnormal_8x5/fp32_a32,c-e8d1329461211350,c-00d3106754b40449,ac31be283c9c021ea4cecf6254976666dc2eeef6031098810a3c24bccb7a76a5,ac31be283c9c021ea4cecf6254976666dc2eeef6031098810a3c24bccb7a76a5,True
kernel,fp8_subnormal_8x5/fp8_a16,c-5eaf2d0635808c44,c-8a44a4565de197d6,88d30e136804f4e98982ee1ac176abda899d717338df59a119f04655d99d2fde,88d30e136804f4e98982ee1ac176abda899d717338df59a119f04655d99d2fde,True
kernel,fp8_subnormal_8x5/fp8_a8,c-a89638b202ff006c,c-7158cd1ce08b000c,88d30e136804f4e98982ee1ac176abda899d717338df59a119f04655d99d2fde,88d30e136804f4e98982ee1ac176abda899d717338df59a119f04655d99d2fde,True
kernel,fp8_tie_even_10x7/fp16_a16,c-8cddf56624b748e1,c-c7acc7b77112cb86,0beeb8ce07835712343de20aff32a83f6459ea3700dbf0b8bb45bc20c2603dc7,0beeb8ce07835712343de20aff32a83f6459ea3700dbf0b8bb45bc20c2603dc7,True
kernel,fp8_tie_even_10x7/fp32_a32,c-b7efeebab1416e10,c-ec38cf2bfde8ef4e,3145cb8852ecd1e9887a25b22d4d89a5f6243ddb1524595afec3b363141bd372,3145cb8852ecd1e9887a25b22d4d89a5f6243ddb1524595afec3b363141bd372,True
kernel,fp8_tie_even_10x7/fp8_a16,c-71dfa5c11298a344,c-f9606ab9886bc848,0522349ce7f96212cde23d1d911757f6c872cb73d9a4134c6ffbcf562d2389f3,0522349ce7f96212cde23d1d911757f6c872cb73d9a4134c6ffbcf562d2389f3,True
kernel,fp8_tie_even_10x7/fp8_a8,c-ce241e4f3d50f28d,c-e647ab73bac196ad,0522349ce7f96212cde23d1d911757f6c872cb73d9a4134c6ffbcf562d2389f3,0522349ce7f96212cde23d1d911757f6c872cb73d9a4134c6ffbcf562d2389f3,True
kernel,half_subnormal_7x4/fp16_a16,c-1c52ce0db66b7cbe,c-41b465b7f178e560,02ff861c900de55fbd4b72e691cab5f81800a631c6eccf7501e7b62f2deee90f,02ff861c900de55fbd4b72e691cab5f81800a631c6eccf7501e7b62f2deee90f,True
kernel,half_subnormal_7x4/fp32_a32,c-0c1df1354a991f7b,c-b57d7814d94271c4,ba5eeeb7b9f09fb61960c668dce6e14610485b1cad7c981e1e6d7669ad4cd4d8,ba5eeeb7b9f09fb61960c668dce6e14610485b1cad7c981e1e6d7669ad4cd4d8,True
kernel,half_subnormal_7x4/fp8_a16,c-e46b2eb81db48068,c-c581bb162c6d435d,e378e397405bdc041c999b9e96d8dacfbd4b60ed38bbd13c199b521949bc0710,e378e397405bdc041c999b9e96d8dacfbd4b60ed38bbd13c199b521949bc0710,True
kernel,half_subnormal_7x4/fp8_a8,c-a087e0fe0c197484,c-3f80806c31a22821,e378e397405bdc041c999b9e96d8dacfbd4b60ed38bbd13c199b521949bc0710,e378e397405bdc041c999b9e96d8dacfbd4b60ed38bbd13c199b521949bc0710,True
kernel,half_tie_even_9x6/fp16_a16,c-619d1755c8823285,c-f323ff814a87031f,16b04bc95e7f5e055aa06cca65271fefbc27764f134cd12cfc37c254b3f1d776,16b04bc95e7f5e055aa06cca65271fefbc27764f134cd12cfc37c254b3f1d776,True
kernel,half_tie_even_9x6/fp32_a32,c-5558fb21abb3525b,c-aabf2c3a84d975f3,d1ea3244d392123755ecbad574a898e8ed4a2905243efb29f88b31400aea361d,d1ea3244d392123755ecbad574a898e8ed4a2905243efb29f88b31400aea361d,True
kernel,half_tie_even_9x6/fp8_a16,c-12301222d5005343,c-1079975799e594f2,6fe566a52948ddbea34cbdd900600573097afedde806f65478e42fc8a08524f0,6fe566a52948ddbea34cbdd900600573097afedde806f65478e42fc8a08524f0,True
kernel,half_tie_even_9x6/fp8_a8,c-e5e6c0efb6fcd524,c-4ea935a595832937,6fe566a52948ddbea34cbdd900600573097afedde806f65478e42fc8a08524f0,6fe566a52948ddbea34cbdd900600573097afedde806f65478e42fc8a08524f0,True
kernel,negative_zero_1x1/fp16_a16,c-12c1fe71a606e1b5,c-1ad9becad2d73f5d,ee64ff66cd44354213d716bc36b29495946a8b526c6feaf6deb96e83ec9fac20,ee64ff66cd44354213d716bc36b29495946a8b526c6feaf6deb96e83ec9fac20,True
kernel,negative_zero_1x1/fp32_a32,c-578bd84d58a99b83,c-fac8a1dda20eb27f,529bd4289858b58a7194e30309d0b3bbc051b2954452c37d456fb8b0d7aa4375,529bd4289858b58a7194e30309d0b3bbc051b2954452c37d456fb8b0d7aa4375,True
kernel,negative_zero_1x1/fp8_a16,c-1f13dc89c76ceadd,c-463031bae45316db,f1a393cdc9844d0461c5b07c83c303a23b825a00f216ed84a210d89aaf0b396e,f1a393cdc9844d0461c5b07c83c303a23b825a00f216ed84a210d89aaf0b396e,True
kernel,negative_zero_1x1/fp8_a8,c-cbfcd79164dff06c,c-36300f3d4a52bdc1,f1a393cdc9844d0461c5b07c83c303a23b825a00f216ed84a210d89aaf0b396e,f1a393cdc9844d0461c5b07c83c303a23b825a00f216ed84a210d89aaf0b396e,True
kernel,normal_mixed_5x3/fp16_a16,c-b9acda220953d2a8,c-e7bc8cc62ee2b8dc,11a0f00b85692221a519aae5cfd3019397671e29def91b3e5fdf1a02fb50844a,11a0f00b85692221a519aae5cfd3019397671e29def91b3e5fdf1a02fb50844a,True
kernel,normal_mixed_5x3/fp32_a32,c-e4afefca70b5e75b,c-b79ef006b3382fca,ca22bd20a06f1b150e686cad9f1c8c6052ad80fe898abd14ebfa1934a43c0322,ca22bd20a06f1b150e686cad9f1c8c6052ad80fe898abd14ebfa1934a43c0322,True
kernel,normal_mixed_5x3/fp8_a16,c-d18b8066459a0c28,c-297c133b00c718d8,719628a65404cdd064e4ef267c1dc4174727d683a2aff752fde3e1fc9b0641fa,719628a65404cdd064e4ef267c1dc4174727d683a2aff752fde3e1fc9b0641fa,True
kernel,normal_mixed_5x3/fp8_a8,c-1623c49a00fdd27b,c-e5c92a72d6b0ae6f,290e729fad3a08d12afc4697ae27bbff888c79a717503089b02fb83b2fa4f1e1,290e729fad3a08d12afc4697ae27bbff888c79a717503089b02fb83b2fa4f1e1,True
kernel,normal_small_3x2/fp16_a16,c-e95b583a0c9dec66,c-d8bb1ddc2dd87e7b,1b4e09f93384c7e5eea5649280f500a5dfd9c195c95e0ca1ad8fc14b32cdc477,1b4e09f93384c7e5eea5649280f500a5dfd9c195c95e0ca1ad8fc14b32cdc477,True
kernel,normal_small_3x2/fp32_a32,c-ec44f0721be7788b,c-b8d15d4b4f6526ef,fcdea8c258493a0a7b3b848e455145978dab2b4a1f46cbe681d572d6e3f56639,fcdea8c258493a0a7b3b848e455145978dab2b4a1f46cbe681d572d6e3f56639,True
kernel,normal_small_3x2/fp8_a16,c-5cef8a2e97e85aa8,c-af10356e98b8739c,b6c7a9c8108f78a8a0f67ca23ac50f4245255b77a91af588edf26995cbc1d8a1,b6c7a9c8108f78a8a0f67ca23ac50f4245255b77a91af588edf26995cbc1d8a1,True
kernel,normal_small_3x2/fp8_a8,c-7c1353b5917bb228,c-c548caa0b3a84910,3b6611443b8de8c6e0534415bab7b6c1c639c890b0ffa4a9e0d3306d0362b2f2,3b6611443b8de8c6e0534415bab7b6c1c639c890b0ffa4a9e0d3306d0362b2f2,True
kernel,rectangular_13x3/fp16_a16,c-f8157c4c81ffeb52,c-1da0963e309676d6,e3166f182d62250286bcbdf7a0d7a906d3460ebdf750db82aec9216a1d6282e2,e3166f182d62250286bcbdf7a0d7a906d3460ebdf750db82aec9216a1d6282e2,True
kernel,rectangular_13x3/fp32_a32,c-6490747a6dac84a0,c-9a5f95eb80ccdfd5,f6ff16892b244cc602571d3938d7072afc005eee12e18b986103b5bd66da476c,f6ff16892b244cc602571d3938d7072afc005eee12e18b986103b5bd66da476c,True
kernel,rectangular_13x3/fp8_a16,c-2f3cd1368b186739,c-ae1641a9af46c7ad,7bf0db41036af195f6dc35a759d1b0f846d630c18b5cada73894fa6be4597448,7bf0db41036af195f6dc35a759d1b0f846d630c18b5cada73894fa6be4597448,True
kernel,rectangular_13x3/fp8_a8,c-710cca5bf3177910,c-71dc44a17a6a298e,dd6565184f2403aa2e06cafead8629511ed31ad2da00db393687b95ff0131f7e,dd6565184f2403aa2e06cafead8629511ed31ad2da00db393687b95ff0131f7e,True
kernel,wide_range_17x13/fp16_a16,c-66a4e199c3f6042e,c-790b796a8de70df6,e81842ae8a2212c827c17cbc68f7ffa9663bcef2512db6f2b32f13b7bfe4b557,e81842ae8a2212c827c17cbc68f7ffa9663bcef2512db6f2b32f13b7bfe4b557,True
kernel,wide_range_17x13/fp32_a32,c-fd43fce1afcc7dea,c-93f49854b16cc4a0,d55c1ffa7c991e77c490c71adc134733e3ecd3716aa96ba7f1e9659f9727b945,d55c1ffa7c991e77c490c71adc134733e3ecd3716aa96ba7f1e9659f9727b945,True
kernel,wide_range_17x13/fp8_a16,c-56b2907b78c88f7a,c-ca7402f86a1b68f6,5033b34e5da5e6b1cfd7e08f81856495afb9ca9e9b347dcf5e6cecb552a3c3fb,5033b34e5da5e6b1cfd7e08f81856495afb9ca9e9b347dcf5e6cecb552a3c3fb,True
kernel,wide_range_17x13/fp8_a8,c-d600cb645e199515,c-5dfd1d7828852953,4a7042fba2ebf611a6321f6f08da885393259220002ad885f1610c6895f74904,4a7042fba2ebf611a6321f6f08da885393259220002ad885f1610c6895f74904,True
stage_layer,fp16_a16/conv1/compute_only,c-7b21e44302fd23a2,c-b00e9524f0517fa4,ca4747d4c15c00f601c6542d6412ca79fb98d56c6d66bfd184491a2d506bab5e,ca4747d4c15c00f601c6542d6412ca79fb98d56c6d66bfd184491a2d506bab5e,True
stage_layer,fp16_a16/conv1/full_system,c-51671ac1cdb71e77,c-1df3de6e969e191f,0c003474f1c3eeb44f784ea566f7fc6d975a8971ac699e08c7540373d895996f,0c003474f1c3eeb44f784ea566f7fc6d975a8971ac699e08c7540373d895996f,True
stage_layer,fp16_a16/conv2/compute_only,c-dd8bd1267994efc3,c-8af78c226c3fc6ba,792cddc03f0835d4bf294c90296721e0bfd9784d3473dce7986d22b6b14f9a7a,792cddc03f0835d4bf294c90296721e0bfd9784d3473dce7986d22b6b14f9a7a,True
stage_layer,fp16_a16/conv2/full_system,c-4c8fca06c218b519,c-2eed35c3d651689b,785ddc1dd844424af995a135ddb43a282206f48653808dfee6b52aec4f432322,785ddc1dd844424af995a135ddb43a282206f48653808dfee6b52aec4f432322,True
stage_layer,fp16_a16/fc1/compute_only,c-ef43312c163aa536,c-327a647b8678e5a6,468a0897aadfb6b2e6ba8f8a9cb5dc05afc2c8cc26908851b0e17a94ec94e33c,468a0897aadfb6b2e6ba8f8a9cb5dc05afc2c8cc26908851b0e17a94ec94e33c,True
stage_layer,fp16_a16/fc1/full_system,c-71997dfc02691c78,c-9e02c8e5d6feacce,ebe4da0153a9d4ea7e0ee0c9089028acdd858030b4b043a6a0c9c0c8c0a2c507,ebe4da0153a9d4ea7e0ee0c9089028acdd858030b4b043a6a0c9c0c8c0a2c507,True
stage_layer,fp16_a16/fc2/compute_only,c-a11c216ea2d55c0b,c-1c3deb082c7bdd0d,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,True
stage_layer,fp16_a16/fc2/full_system,c-80509c8294a789bc,c-4dcacf1e0de50436,44911b482fb55abbb7420ce72279bdaeb7a5577c40c0ddebb66715e1f662f205,44911b482fb55abbb7420ce72279bdaeb7a5577c40c0ddebb66715e1f662f205,True
stage_layer,fp16_a16/fc3/compute_only,c-a4a2ae84468fc5e5,c-adcc78df8706888d,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,True
stage_layer,fp16_a16/fc3/full_system,c-3b3d80949009cc92,c-0eca3e289722a956,0bfa7684125a2d78c5cb3978ae4fb3c69983fc471a29176e113f7f6681d23131,0bfa7684125a2d78c5cb3978ae4fb3c69983fc471a29176e113f7f6681d23131,True
stage_layer,fp32_a32/conv1/compute_only,c-076c737f701cbc8c,c-f2e7bb47da3db4d3,ca4747d4c15c00f601c6542d6412ca79fb98d56c6d66bfd184491a2d506bab5e,ca4747d4c15c00f601c6542d6412ca79fb98d56c6d66bfd184491a2d506bab5e,True
stage_layer,fp32_a32/conv1/full_system,c-2b87c9c0eae1d911,c-dd1a38ba7648dc47,dbdfebc6c0f99e2997c741aa7207a01a7bdd518546c1072d07b86d9d4090f46a,dbdfebc6c0f99e2997c741aa7207a01a7bdd518546c1072d07b86d9d4090f46a,True
stage_layer,fp32_a32/conv2/compute_only,c-dd559c521b7e70bc,c-af3bbc76a7ea21a0,792cddc03f0835d4bf294c90296721e0bfd9784d3473dce7986d22b6b14f9a7a,792cddc03f0835d4bf294c90296721e0bfd9784d3473dce7986d22b6b14f9a7a,True
stage_layer,fp32_a32/conv2/full_system,c-1199da575be8c99c,c-db2a4082e102a16c,cb79a39b8b57597579c1fa6b03a3d78cb4a7af750d9bce0786d63760d598f48a,cb79a39b8b57597579c1fa6b03a3d78cb4a7af750d9bce0786d63760d598f48a,True
stage_layer,fp32_a32/fc1/compute_only,c-cdd38119f83159a9,c-580d77855c6bffb4,468a0897aadfb6b2e6ba8f8a9cb5dc05afc2c8cc26908851b0e17a94ec94e33c,468a0897aadfb6b2e6ba8f8a9cb5dc05afc2c8cc26908851b0e17a94ec94e33c,True
stage_layer,fp32_a32/fc1/full_system,c-b6769b6dc8235353,c-6837f2f805940681,a47b530e3587edde3cdbbf3d5f836d1910d5912509a1536e12f13586c5a69935,a47b530e3587edde3cdbbf3d5f836d1910d5912509a1536e12f13586c5a69935,True
stage_layer,fp32_a32/fc2/compute_only,c-8f62dc547f100bc9,c-cce4d01ee390e393,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,True
stage_layer,fp32_a32/fc2/full_system,c-fbd8bc16b229c934,c-0a6681383b895bb5,aea5866ed4888c5555f3e5092f0bbe0acaa1ab672186c509027aa976398da988,aea5866ed4888c5555f3e5092f0bbe0acaa1ab672186c509027aa976398da988,True
stage_layer,fp32_a32/fc3/compute_only,c-93d8b0c82f478847,c-a1bec922a7689d56,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,True
stage_layer,fp32_a32/fc3/full_system,c-cd6f36912eb96301,c-0807b93365b7a711,1bff4f2c47a5e811ba3ed7f7f07a07504ad0bbeb40bec0693b6ba07f02096d0e,1bff4f2c47a5e811ba3ed7f7f07a07504ad0bbeb40bec0693b6ba07f02096d0e,True
stage_layer,fp8_a16/conv1/compute_only,c-7385bfb87a732009,c-1e15e477cee672b9,ca4747d4c15c00f601c6542d6412ca79fb98d56c6d66bfd184491a2d506bab5e,ca4747d4c15c00f601c6542d6412ca79fb98d56c6d66bfd184491a2d506bab5e,True
stage_layer,fp8_a16/conv1/full_system,c-3b92270028ebf7a9,c-a368ba8dbfc0b692,8056d6defa8fac4962f0f63f1e436358b31f6cadfea21065c2031e04ad2aa3cb,8056d6defa8fac4962f0f63f1e436358b31f6cadfea21065c2031e04ad2aa3cb,True
stage_layer,fp8_a16/conv2/compute_only,c-094172620a907171,c-db0920e28ad02303,792cddc03f0835d4bf294c90296721e0bfd9784d3473dce7986d22b6b14f9a7a,792cddc03f0835d4bf294c90296721e0bfd9784d3473dce7986d22b6b14f9a7a,True
stage_layer,fp8_a16/conv2/full_system,c-050ff4ea5c3cd7ba,c-b6d11029b3b4d537,bfa358e3e3d949e604e7739f9146b18c1c757fa98f5329acf94866bb086b60be,bfa358e3e3d949e604e7739f9146b18c1c757fa98f5329acf94866bb086b60be,True
stage_layer,fp8_a16/fc1/compute_only,c-4e2486f0f56c5ab5,c-ff0dd01ace9890d2,468a0897aadfb6b2e6ba8f8a9cb5dc05afc2c8cc26908851b0e17a94ec94e33c,468a0897aadfb6b2e6ba8f8a9cb5dc05afc2c8cc26908851b0e17a94ec94e33c,True
stage_layer,fp8_a16/fc1/full_system,c-8ef9ac1face4059e,c-2025dd29b0114eb9,6daf9d587b3e78887455db6e90d521d45892e970baa895299e0154519a2ab1d0,6daf9d587b3e78887455db6e90d521d45892e970baa895299e0154519a2ab1d0,True
stage_layer,fp8_a16/fc2/compute_only,c-c0d88f22c1273aeb,c-b06d92411ac610b5,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,True
stage_layer,fp8_a16/fc2/full_system,c-47d9e8853c02e654,c-18689a23955b0057,66792a5f82a8584dad2d0046257acf717a8d36639cbab77f52e49142e78ba8b4,66792a5f82a8584dad2d0046257acf717a8d36639cbab77f52e49142e78ba8b4,True
stage_layer,fp8_a16/fc3/compute_only,c-8f749317d2099d32,c-6aa7e86adcf46dff,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,True
stage_layer,fp8_a16/fc3/full_system,c-40f31b635eeacd66,c-0ccc3cc5574b7ce9,7e491e74e04f8f534547e270a09816833a189ac6d7aded2abecab24677b63c6d,7e491e74e04f8f534547e270a09816833a189ac6d7aded2abecab24677b63c6d,True
stage_layer,fp8_a8/conv1/compute_only,c-2081da95c73dd774,c-666224cc5f810a38,ca4747d4c15c00f601c6542d6412ca79fb98d56c6d66bfd184491a2d506bab5e,ca4747d4c15c00f601c6542d6412ca79fb98d56c6d66bfd184491a2d506bab5e,True
stage_layer,fp8_a8/conv1/full_system,c-04d6e6c6f8aaac48,c-54642396896f342e,8056d6defa8fac4962f0f63f1e436358b31f6cadfea21065c2031e04ad2aa3cb,8056d6defa8fac4962f0f63f1e436358b31f6cadfea21065c2031e04ad2aa3cb,True
stage_layer,fp8_a8/conv2/compute_only,c-db2748ce9c9deef7,c-ae7b64cbbb1543f2,792cddc03f0835d4bf294c90296721e0bfd9784d3473dce7986d22b6b14f9a7a,792cddc03f0835d4bf294c90296721e0bfd9784d3473dce7986d22b6b14f9a7a,True
stage_layer,fp8_a8/conv2/full_system,c-c775fceb4071c443,c-e18cc01d0b9e5d62,bfa358e3e3d949e604e7739f9146b18c1c757fa98f5329acf94866bb086b60be,bfa358e3e3d949e604e7739f9146b18c1c757fa98f5329acf94866bb086b60be,True
stage_layer,fp8_a8/fc1/compute_only,c-22062743758e4bd5,c-572cb1cb9ae5b3ff,468a0897aadfb6b2e6ba8f8a9cb5dc05afc2c8cc26908851b0e17a94ec94e33c,468a0897aadfb6b2e6ba8f8a9cb5dc05afc2c8cc26908851b0e17a94ec94e33c,True
stage_layer,fp8_a8/fc1/full_system,c-9cf7aa66673e5d48,c-1bdfda774f69bd66,6daf9d587b3e78887455db6e90d521d45892e970baa895299e0154519a2ab1d0,6daf9d587b3e78887455db6e90d521d45892e970baa895299e0154519a2ab1d0,True
stage_layer,fp8_a8/fc2/compute_only,c-8284b64965451e05,c-1208fef10bf2bf66,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,16f5d0dbbaa3c206ed0934e97a1c4bd50d06ff676a6ba40f9fc060f9392856a7,True
stage_layer,fp8_a8/fc2/full_system,c-55d28889de33e30e,c-2a8c2717b0540362,66792a5f82a8584dad2d0046257acf717a8d36639cbab77f52e49142e78ba8b4,66792a5f82a8584dad2d0046257acf717a8d36639cbab77f52e49142e78ba8b4,True
stage_layer,fp8_a8/fc3/compute_only,c-9f27055756a26e66,c-c8995ad03400af4f,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,bf4d7d001e47e60c0afc18b80bc613f0da6e108c7c71ce4714732e1feb991bb2,True
stage_layer,fp8_a8/fc3/full_system,c-951bd926a5296215,c-94abb2e761e82cdb,7e491e74e04f8f534547e270a09816833a189ac6d7aded2abecab24677b63c6d,7e491e74e04f8f534547e270a09816833a189ac6d7aded2abecab24677b63c6d,True
stage_network,fp32_a32,c-08bddfb25417d3b0,c-e4c09b2889d8234e,d0625f234376a033e71204560a178a385f32ee0262690630ae59c49c843dd393,d0625f234376a033e71204560a178a385f32ee0262690630ae59c49c843dd393,True
stage_network,fp16_a16,c-35c04c5375323477,c-a184484f823ec9da,d2f9cafcf269bc02a0e8f5d3e467100815417659e17404a79654f6ffab8c5fca,d2f9cafcf269bc02a0e8f5d3e467100815417659e17404a79654f6ffab8c5fca,True
stage_network,fp8_a16,c-31447926f274411a,c-0dc185edd198f6dc,405952af2ed4c038b57a4d9dbae02d63505dfcf637d5f97b29b2b4059abe2b37,405952af2ed4c038b57a4d9dbae02d63505dfcf637d5f97b29b2b4059abe2b37,True
stage_network,fp8_a8,c-1f6617652f5039ab,c-dd2edeb3264a9e0a,405952af2ed4c038b57a4d9dbae02d63505dfcf637d5f97b29b2b4059abe2b37,405952af2ed4c038b57a4d9dbae02d63505dfcf637d5f97b29b2b4059abe2b37,True
